product_key,product_id,product_number,product_name,category_id,category,subcategory,maintenance,cost,product_line,start_date
1,210,FR-R92B-58,hl road frame - black- 58,CO_RF,components,road frames,Yes,0,road,2003-07-01
2,211,FR-R92R-58,hl road frame - red- 58,CO_RF,components,road frames,Yes,0,road,2003-07-01
3,348,BK-M82B-38,mountain-100 black- 38,BI_MB,bikes,mountain bikes,Yes,1898,mountain,2011-07-01
4,349,BK-M82B-42,mountain-100 black- 42,BI_MB,bikes,mountain bikes,Yes,1898,mountain,2011-07-01
5,350,BK-M82B-44,mountain-100 black- 44,BI_MB,bikes,mountain bikes,Yes,1898,mountain,2011-07-01
6,351,BK-M82B-48,mountain-100 black- 48,BI_MB,bikes,mountain bikes,Yes,1898,mountain,2011-07-01
7,344,BK-M82S-38,mountain-100 silver- 38,BI_MB,bikes,mountain bikes,Yes,1912,mountain,2011-07-01
8,345,BK-M82S-42,mountain-100 silver- 42,BI_MB,bikes,mountain bikes,Yes,1912,mountain,2011-07-01
9,346,BK-M82S-44,mountain-100 silver- 44,BI_MB,bikes,mountain bikes,Yes,1912,mountain,2011-07-01
10,347,BK-M82S-48,mountain-100 silver- 48,BI_MB,bikes,mountain bikes,Yes,1912,mountain,2011-07-01
11,317,BK-R68R-44,road-450 red- 44,BI_RB,bikes,road bikes,Yes,885,road,2011-07-01
12,318,BK-R68R-48,road-450 red- 48,BI_RB,bikes,road bikes,Yes,885,road,2011-07-01
13,319,BK-R68R-52,road-450 red- 52,BI_RB,bikes,road bikes,Yes,885,road,2011-07-01
14,315,BK-R68R-58,road-450 red- 58,BI_RB,bikes,road bikes,Yes,885,road,2011-07-01
15,316,BK-R68R-60,road-450 red- 60,BI_RB,bikes,road bikes,Yes,885,road,2011-07-01
16,311,BK-R93R-44,road-150 red- 44,BI_RB,bikes,road bikes,Yes,2171,road,2011-07-01
17,312,BK-R93R-48,road-150 red- 48,BI_RB,bikes,road bikes,Yes,2171,road,2011-07-01
18,313,BK-R93R-52,road-150 red- 52,BI_RB,bikes,road bikes,Yes,2171,road,2011-07-01
19,314,BK-R93R-56,road-150 red- 56,BI_RB,bikes,road bikes,Yes,2171,road,2011-07-01
20,310,BK-R93R-62,road-150 red- 62,BI_RB,bikes,road bikes,Yes,2171,road,2011-07-01
21,299,FR-M94B-44,hl mountain frame - black- 44,CO_MF,components,mountain frames,Yes,699,mountain,2011-07-01
22,300,FR-M94B-48,hl mountain frame - black- 48,CO_MF,components,mountain frames,Yes,699,mountain,2011-07-01
23,291,FR-M94S-44,hl mountain frame - silver- 44,CO_MF,components,mountain frames,Yes,707,mountain,2011-07-01
24,292,FR-M94S-52,hl mountain frame - silver- 48,CO_MF,components,mountain frames,Yes,707,mountain,2011-07-01
25,274,FR-R72R-44,ml road frame - red- 44,CO_RF,components,road frames,Yes,352,road,2011-07-01
26,275,FR-R72R-48,ml road frame - red- 48,CO_RF,components,road frames,Yes,352,road,2011-07-01
27,276,FR-R72R-52,ml road frame - red- 52,CO_RF,components,road frames,Yes,352,road,2011-07-01
28,277,FR-R72R-58,ml road frame - red- 58,CO_RF,components,road frames,Yes,352,road,2011-07-01
29,278,FR-R72R-60,ml road frame - red- 60,CO_RF,components,road frames,Yes,352,road,2011-07-01
30,219,SO-B909-L,mountain bike socks- l,CL_SO,clothing,socks,No,3,mountain,2011-07-01
31,218,SO-B909-M,mountain bike socks- m,CL_SO,clothing,socks,No,3,mountain,2011-07-01
32,364,BK-M47B-38,mountain-300 black- 38,BI_MB,bikes,mountain bikes,Yes,598,mountain,2012-07-01
33,365,BK-M47B-40,mountain-300 black- 40,BI_MB,bikes,mountain bikes,Yes,598,mountain,2012-07-01
34,366,BK-M47B-44,mountain-300 black- 44,BI_MB,bikes,mountain bikes,Yes,598,mountain,2012-07-01
35,367,BK-M47B-48,mountain-300 black- 48,BI_MB,bikes,mountain bikes,Yes,598,mountain,2012-07-01
36,339,BK-R50B-44,road-650 black- 44,BI_RB,bikes,road bikes,Yes,487,road,2012-07-01
37,341,BK-R50B-48,road-650 black- 48,BI_RB,bikes,road bikes,Yes,487,road,2012-07-01
38,343,BK-R50B-52,road-650 black- 52,BI_RB,bikes,road bikes,Yes,487,road,2012-07-01
39,333,BK-R50B-58,road-650 black- 58,BI_RB,bikes,road bikes,Yes,487,road,2012-07-01
40,335,BK-R50B-60,road-650 black- 60,BI_RB,bikes,road bikes,Yes,487,road,2012-07-01
41,337,BK-R50B-62,road-650 black- 62,BI_RB,bikes,road bikes,Yes,487,road,2012-07-01
42,327,BK-R50R-44,road-650 red- 44,BI_RB,bikes,road bikes,Yes,487,road,2012-07-01
43,329,BK-R50R-48,road-650 red- 48,BI_RB,bikes,road bikes,Yes,487,road,2012-07-01
44,331,BK-R50R-52,road-650 red- 52,BI_RB,bikes,road bikes,Yes,487,road,2012-07-01
45,321,BK-R50R-58,road-650 red- 58,BI_RB,bikes,road bikes,Yes,487,road,2012-07-01
46,323,BK-R50R-60,road-650 red- 60,BI_RB,bikes,road bikes,Yes,487,road,2012-07-01
47,325,BK-R50R-62,road-650 red- 62,BI_RB,bikes,road bikes,Yes,487,road,2012-07-01
48,368,BK-R89R-44,road-250 red- 44,BI_RB,bikes,road bikes,Yes,1519,road,2012-07-01
49,369,BK-R89R-48,road-250 red- 48,BI_RB,bikes,road bikes,Yes,1519,road,2012-07-01
50,370,BK-R89R-52,road-250 red- 52,BI_RB,bikes,road bikes,Yes,1519,road,2012-07-01
51,391,FK-1639,ll fork,CO_FO,components,forks,Yes,66,unknown,2012-07-01
52,392,FK-5136,ml fork,CO_FO,components,forks,Yes,78,unknown,2012-07-01
53,393,FK-9939,hl fork,CO_FO,components,forks,Yes,102,unknown,2012-07-01
54,409,FR-M63B-38,ml mountain frame - black- 38,CO_MF,components,mountain frames,Yes,186,mountain,2012-07-01
55,426,FR-M63B-40,ml mountain frame - black- 40,CO_MF,components,mountain frames,Yes,186,mountain,2012-07-01
56,427,FR-M63B-44,ml mountain frame - black- 44,CO_MF,components,mountain frames,Yes,186,mountain,2012-07-01
57,428,FR-M63B-48,ml mountain frame - black- 48,CO_MF,components,mountain frames,Yes,186,mountain,2012-07-01
58,263,FR-R38R-44,ll road frame - red- 44,CO_RF,components,road frames,Yes,187,road,2012-07-01
59,265,FR-R38R-48,ll road frame - red- 48,CO_RF,components,road frames,Yes,187,road,2012-07-01
60,267,FR-R38R-52,ll road frame - red- 52,CO_RF,components,road frames,Yes,187,road,2012-07-01
61,269,FR-R38R-58,ll road frame - red- 58,CO_RF,components,road frames,Yes,187,road,2012-07-01
62,271,FR-R38R-60,ll road frame - red- 60,CO_RF,components,road frames,Yes,187,road,2012-07-01
63,273,FR-R38R-62,ll road frame - red- 62,CO_RF,components,road frames,Yes,187,road,2012-07-01
64,410,FW-M423,ll mountain front wheel,CO_WH,components,wheels,Yes,27,mountain,2012-07-01
65,411,FW-M762,ml mountain front wheel,CO_WH,components,wheels,Yes,93,mountain,2012-07-01
66,412,FW-M928,hl mountain front wheel,CO_WH,components,wheels,Yes,133,mountain,2012-07-01
67,413,FW-R623,ll road front wheel,CO_WH,components,wheels,Yes,38,road,2012-07-01
68,414,FW-R762,ml road front wheel,CO_WH,components,wheels,Yes,110,road,2012-07-01
69,415,FW-R820,hl road front wheel,CO_WH,components,wheels,Yes,147,road,2012-07-01
70,416,FW-T905,touring front wheel,CO_WH,components,wheels,Yes,97,touring,2012-07-01
71,470,GL-F110-L,full-finger gloves- l,CL_GL,clothing,gloves,No,16,mountain,2012-07-01
72,469,GL-F110-M,full-finger gloves- m,CL_GL,clothing,gloves,No,16,mountain,2012-07-01
73,468,GL-F110-S,full-finger gloves- s,CL_GL,clothing,gloves,No,16,mountain,2012-07-01
74,394,HS-0296,ll headset,CO_HS,components,headsets,No,15,unknown,2012-07-01
75,395,HS-2451,ml headset,CO_HS,components,headsets,No,45,unknown,2012-07-01
76,396,HS-3479,hl headset,CO_HS,components,headsets,No,55,unknown,2012-07-01
77,447,LO-C100,cable lock,AC_LO,accessories,locks,Yes,10,other sales,2012-07-01
78,451,LT-H902,headlights - dual-beam,AC_LI,accessories,lights,Yes,14,road,2012-07-01
79,452,LT-H903,headlights - weatherproof,AC_LI,accessories,lights,Yes,19,road,2012-07-01
80,450,LT-T990,taillights - battery-powered,AC_LI,accessories,lights,Yes,6,road,2012-07-01
81,446,PA-T100,touring-panniers- large,AC_PA,accessories,panniers,No,52,touring,2012-07-01
82,448,PU-0452,minipump,AC_PU,accessories,pumps,Yes,8,other sales,2012-07-01
83,449,PU-M044,mountain pump,AC_PU,accessories,pumps,Yes,10,mountain,2012-07-01
84,419,RW-M423,ll mountain rear wheel,CO_WH,components,wheels,Yes,39,mountain,2012-07-01
85,420,RW-M762,ml mountain rear wheel,CO_WH,components,wheels,Yes,105,mountain,2012-07-01
86,421,RW-M928,hl mountain rear wheel,CO_WH,components,wheels,Yes,145,mountain,2012-07-01
87,422,RW-R623,ll road rear wheel,CO_WH,components,wheels,Yes,50,road,2012-07-01
88,423,RW-R762,ml road rear wheel,CO_WH,components,wheels,Yes,122,road,2012-07-01
89,424,RW-R820,hl road rear wheel,CO_WH,components,wheels,Yes,159,road,2012-07-01
90,425,RW-T905,touring rear wheel,CO_WH,components,wheels,Yes,109,touring,2012-07-01
91,461,SB-M891-L,men's bib-shorts- l,CL_BS,clothing,bib-shorts,No,37,other sales,2012-07-01
92,460,SB-M891-M,men's bib-shorts- m,CL_BS,clothing,bib-shorts,No,37,other sales,2012-07-01
93,459,SB-M891-S,men's bib-shorts- s,CL_BS,clothing,bib-shorts,No,37,other sales,2012-07-01
94,454,SH-M897-L,men's sports shorts- l,CL_SH,clothing,shorts,No,25,other sales,2012-07-01
95,453,SH-M897-M,men's sports shorts- m,CL_SH,clothing,shorts,No,25,other sales,2012-07-01
96,445,SH-M897-S,men's sports shorts- s,CL_SH,clothing,shorts,No,25,other sales,2012-07-01
97,455,SH-M897-X,men's sports shorts- xl,CL_SH,clothing,shorts,No,25,other sales,2012-07-01
98,458,TG-W091-L,women's tights- l,CL_TI,clothing,tights,No,31,other sales,2012-07-01
99,457,TG-W091-M,women's tights- m,CL_TI,clothing,tights,No,31,other sales,2012-07-01
100,456,TG-W091-S,women's tights- s,CL_TI,clothing,tights,No,31,other sales,2012-07-01
101,601,BB-7421,ll bottom bracket,CO_BB,components,bottom brackets,Yes,24,unknown,2013-07-01
102,602,BB-8107,ml bottom bracket,CO_BB,components,bottom brackets,Yes,45,unknown,2013-07-01
103,603,BB-9108,hl bottom bracket,CO_BB,components,bottom brackets,Yes,54,unknown,2013-07-01
104,478,BC-M005,mountain bottle cage,AC_BC,accessories,bottles and cages,No,4,mountain,2013-07-01
105,479,BC-R205,road bottle cage,AC_BC,accessories,bottles and cages,No,3,road,2013-07-01
106,596,BK-M18B-40,mountain-500 black- 40,BI_MB,bikes,mountain bikes,Yes,295,mountain,2013-07-01
107,597,BK-M18B-42,mountain-500 black- 42,BI_MB,bikes,mountain bikes,Yes,295,mountain,2013-07-01
108,598,BK-M18B-44,mountain-500 black- 44,BI_MB,bikes,mountain bikes,Yes,295,mountain,2013-07-01
109,599,BK-M18B-48,mountain-500 black- 48,BI_MB,bikes,mountain bikes,Yes,295,mountain,2013-07-01
110,600,BK-M18B-52,mountain-500 black- 52,BI_MB,bikes,mountain bikes,Yes,295,mountain,2013-07-01
111,591,BK-M18S-40,mountain-500 silver- 40,BI_MB,bikes,mountain bikes,Yes,308,mountain,2013-07-01
112,592,BK-M18S-42,mountain-500 silver- 42,BI_MB,bikes,mountain bikes,Yes,308,mountain,2013-07-01
113,593,BK-M18S-44,mountain-500 silver- 44,BI_MB,bikes,mountain bikes,Yes,308,mountain,2013-07-01
114,594,BK-M18S-48,mountain-500 silver- 48,BI_MB,bikes,mountain bikes,Yes,308,mountain,2013-07-01
115,595,BK-M18S-52,mountain-500 silver- 52,BI_MB,bikes,mountain bikes,Yes,308,mountain,2013-07-01
116,587,BK-M38S-38,mountain-400-w silver- 38,BI_MB,bikes,mountain bikes,Yes,420,mountain,2013-07-01
117,588,BK-M38S-40,mountain-400-w silver- 40,BI_MB,bikes,mountain bikes,Yes,420,mountain,2013-07-01
118,589,BK-M38S-42,mountain-400-w silver- 42,BI_MB,bikes,mountain bikes,Yes,420,mountain,2013-07-01
119,590,BK-M38S-46,mountain-400-w silver- 46,BI_MB,bikes,mountain bikes,Yes,420,mountain,2013-07-01
120,359,BK-M68B-38,mountain-200 black- 38,BI_MB,bikes,mountain bikes,Yes,1252,mountain,2013-07-01
121,361,BK-M68B-42,mountain-200 black- 42,BI_MB,bikes,mountain bikes,Yes,1252,mountain,2013-07-01
